uniqueID,TP.units,TP.value,TN.units,TN.value,PO4.units,PO4.value,NO3NO2.units,NO3NO2.value,DOC.units,DOC.value,DO.units,DO.value,NH3.units,NH3.value
V100000043,,,,,,,,,mg/L,0.00018,,,,
V100000044,,,,,,,,,mg/L,0.00065,,,,
V100000045,,,,,,,,,mg/L,0.00035,,,,
V100000046,,,,,,,,,mg/L,0.00018,,,,
V100000047,,,,,,,,,mg/L,0.00088,,,,
V100000048,,,,,,,,,mg/L,5.00E-05,,,,
V100000049,,,,,,,,,mg/L,0.00012,,,,
V100000050,,,,,,,,,mg/L,0.00039,,,,
V100000051,,,,,,,,,mg/L,0.00038,,,,
V100000052,,,,,,,,,mg/L,1.00E-05,,,,
V100000053,,,,,,,,,mg/L,0.00024,,,,
V100000054,,,,,,,,,mg/L,0.00026,,,,
V100000055,,,,,,,,,mg/L,0.00041,,,,
V100000056,,,,,,,,,mg/L,0.00075,,,,
V100000057,,,,,,,,,mg/L,0.00014,,,,
V100000058,,,,,,,,,mg/L,0.00066,,,,
V100000059,,,,,,,,,mg/L,0.00079,,,,
V100000060,,,,,,,,,mg/L,0.00068,,,,
V100000061,,,,,,,,,mg/L,1.00E-05,,,,
V100000062,,,,,,,,,mg/L,0.00072,,,,
V100000063,,,,,,,,,mg/L,5.00E-05,,,,
V100000064,,,,,,,,,mg/L,0.00085,,,,
V100000065,,,,,,,,,mg/L,0.00059,,,,
V100000066,,,,,,,,,mg/L,3.00E-05,,,,
V100000067,,,,,,,,,mg/L,0.00033,,,,
V100000068,,,,,,,,,mg/L,0.00046,,,,
V100000069,,,,,,,,,mg/L,0.00069,,,,
V100000070,,,,,,,,,mg/L,7.00E-05,,,,
V100000071,,,,,,,,,mg/L,5.00E-04,,,,
V100000072,,,,,,,,,mg/L,7.00E-05,,,,
V100000073,,,,,,,,,mg/L,2.00E-05,,,,
V100000074,,,,,,,,,mg/L,7.00E-05,,,,
V100000075,,,,,,,,,mg/L,0.00029,,,,
V100000076,,,,,,,,,mg/L,0.00093,,,,
V100000077,,,,,,,,,mg/L,3.00E-05,,,,
V100000078,,,,,,,,,mg/L,0.00044,,,,
V100000079,,,,,,,,,mg/L,5.00E-05,,,,
V100000080,,,,,,,,,mg/L,6.00E-05,,,,
V100000081,,,,,,,,,mg/L,0.00057,,,,
V100000082,,,,,,,,,mg/L,0.00078,,,,
V100000083,,,,,,,,,mg/L,0.00064,,,,
V100000084,,,,,,,,,mg/L,0.00021,,,,
V100000085,,,,,,,,,mg/L,0.00058,,,,
V100000087,,,,,,,,,mg/L,0.00062,,,,
V100000088,,,,,,,,,mg/L,0.00025,,,,
V100000089,,,,,,,,,mg/L,0.00018,,,,
V100000090,,,,,,,,,mg/L,0.00071,,,,
V100000091,,,,,,,,,mg/L,0.00077,,,,
V100000092,,,,,,,,,mg/L,0.00016,,,,
V100000093,,,,,,,,,mg/L,0.00073,,,,
V100000094,,,,,,,,,mg/L,0.00036,,,,
V100000095,,,,,,,,,mg/L,0.00025,,,,
V100000096,,,,,,,,,mg/L,6.00E-04,,,,
V100000097,,,,,,,,,mg/L,0.00033,,,,
V100000098,,,,,,,,,mg/L,0.00069,,,,
V100000099,,,,,,,,,mg/L,0.00025,,,,
V100000100,,,,,,,,,mg/L,0.00073,,,,
V100000101,,,,,,,,,mg/L,1.00E-05,,,,
V100000102,,,,,,,,,mg/L,0.00022,,,,
V100000103,,,,,,,,,mg/L,4.00E-05,,,,
V100000104,,,,,,,,,mg/L,0.00022,,,,
V100000105,,,,,,,,,mg/L,0.00027,,,,
V100000106,,,,,,,,,mg/L,0.00084,,,,
V100000107,,,,,,,,,mg/L,3.00E-04,,,,
V100000108,,,,,,,,,mg/L,0.00056,,,,
V100000109,,,,,,,,,mg/L,0.00097,,,,
V100000110,,,,,,,,,mg/L,2.00E-05,,,,
V100000111,,,,,,,,,mg/L,0.00011,,,,
V100000112,,,,,,,,,mg/L,0.00078,,,,
V100000113,,,,,,,,,mg/L,0.00069,,,,
V100000114,,,,,,,,,mg/L,0.00071,,,,
V100000115,,,,,,,,,mg/L,0.00066,,,,
V100000116,,,,,,,,,mg/L,0.00019,,,,
V100000117,,,,,,,,,mg/L,0.00049,,,,
V100000118,,,,,,,,,mg/L,2.00E-05,,,,
V100000119,,,,,,,,,mg/L,0.00043,,,,
V100000120,,,,,,,,,mg/L,0.00011,,,,
V100000121,,,,,,,,,mg/L,0.00016,,,,
V100000122,,,,,,,,,mg/L,9.00E-04,,,,
V100000123,,,,,,,,,mg/L,0.00036,,,,
V100000124,,,,,,,,,mg/L,0.00073,,,,
V100000125,,,,,,,,,mg/L,7.00E-04,,,,
V100000126,,,,,,,,,mg/L,3.00E-04,,,,
V100000127,,,,,,,,,mg/L,0.00024,,,,
V100000128,,,,,,,,,mg/L,0.00092,,,,
V100000129,,,,,,,,,mg/L,0.00028,,,,
V100000130,,,,,,,,,mg/L,1.00E-05,,,,
V100000131,,,,,,,,,mg/L,0.00029,,,,
V100000132,,,,,,,,,mg/L,0.00037,,,,
V100000133,,,,,,,,,mg/L,0.00023,,,,
V100000134,,,,,,,,,mg/L,0.00024,,,,
V100000135,,,,,,,,,mg/L,1.00E-05,,,,
V100000136,,,,,,,,,mg/L,4.00E-05,,,,
V100000137,,,,,,,,,mg/L,0.00086,,,,
V100000138,,,,,,,,,mg/L,0.00022,,,,
V100000139,,,,,,,,,mg/L,1.00E-04,,,,
V100000140,,,,,,,,,mg/L,2.00E-05,,,,
V100000141,,,,,,,,,mg/L,0.00074,,,,
V100000142,,,,,,,,,mg/L,0.00079,,,,
V100000143,,,,,,,,,mg/L,0.00026,,,,
V100000144,,,,,,,,,mg/L,0.00081,,,,
V100000145,,,,,,,,,mg/L,0.00084,,,,
V100000146,,,,,,,,,mg/L,0.00023,,,,
V100000147,,,,,,,,,mg/L,0.00023,,,,
V100000148,,,,,,,,,mg/L,0.00061,,,,
V100000149,,,,,,,,,mg/L,0.00048,,,,
V100000151,,,,,,,,,mg/L,0.00044,,,,
V100000152,,,,,,,,,mg/L,0.00086,,,,
V100000153,,,,,,,,,mg/L,0.00015,,,,
V100000154,,,,,,,,,mg/L,0.00097,,,,
V100000155,,,,,,,,,mg/L,0.00017,,,,
V100000156,,,,,,,,,mg/L,0.00071,,,,
V100000157,,,,,,,,,mg/L,0.00012,,,,
V100000158,,,,,,,,,mg/L,0.00035,,,,
V100000159,,,,,,,,,mg/L,0.00089,,,,
V100000160,,,,,,,,,mg/L,0.00075,,,,
V100000161,,,,,,,,,mg/L,0.00062,,,,
V100000162,,,,,,,,,mg/L,0.00061,,,,
V100000163,,,,,,,,,mg/L,0.00048,,,,
V100000164,,,,,,,,,mg/L,4.00E-05,,,,
V100000165,,,,,,,,,mg/L,0.00062,,,,
V100000166,,,,,,,,,mg/L,0.00063,,,,
V100000167,,,,,,,,,mg/L,1.00E-04,,,,
V100000168,,,,,,,,,mg/L,0.00042,,,,
V100000169,,,,,,,,,mg/L,0.00081,,,,
V100000170,,,,,,,,,mg/L,0.00035,,,,
V100000171,,,,,,,,,mg/L,0.00064,,,,
V100000172,,,,,,,,,mg/L,4.00E-05,,,,
V100000173,,,,,,,,,mg/L,0.00023,,,,
V100000174,,,,,,,,,mg/L,0.00075,,,,
V100000175,,,,,,,,,mg/L,0.00053,,,,
V100000176,,,,,,,,,mg/L,0.00053,,,,
V100000177,,,,,,,,,mg/L,0.00022,,,,
V100000178,,,,,,,,,mg/L,4.00E-05,,,,
V100000179,,,,,,,,,mg/L,0.00014,,,,
V100000180,,,,,,,,,mg/L,0.00062,,,,
V100000181,,,,,,,,,mg/L,0.00011,,,,
V100000182,,,,,,,,,mg/L,0.00015,,,,
V100000183,,,,,,,,,mg/L,5.00E-04,,,,
V100000184,,,,,,,,,mg/L,0.00017,,,,
V100000185,,,,,,,,,mg/L,0.00029,,,,
V100000186,,,,,,,,,mg/L,0.00036,,,,
V100000187,,,,,,,,,mg/L,3.00E-05,,,,
V100000188,,,,,,,,,mg/L,4.00E-05,,,,
V100000189,,,,,,,,,mg/L,0.00089,,,,
V100000190,,,,,,,,,mg/L,4.00E-05,,,,
V100000191,,,,,,,,,mg/L,0.00025,,,,
V100000192,,,,,,,,,mg/L,4.00E-05,,,,
V100000193,,,,,,,,,mg/L,5.00E-05,,,,
V100000194,,,,,,,,,mg/L,1.00E-05,,,,
V100000195,,,,,,,,,mg/L,0.00077,,,,
V100000196,,,,,,,,,mg/L,0.00051,,,,
V100000197,,,,,,,,,mg/L,0.00072,,,,
V100000198,,,,,,,,,mg/L,9.00E-05,,,,
V100000199,,,,,,,,,mg/L,0.00027,,,,
V100000200,,,,,,,,,mg/L,0.00026,,,,
V100000201,,,,,,,,,mg/L,0.00046,,,,
V100000202,,,,,,,,,mg/L,0.00029,,,,
V100000203,,,,,,,,,mg/L,0.00051,,,,
V100000204,,,,,,,,,mg/L,2.00E-04,,,,
V100000205,,,,,,,,,mg/L,0.00078,,,,
V100000206,,,,,,,,,mg/L,0.00032,,,,
V100000207,,,,,,,,,mg/L,0.00063,,,,
V100000208,,,,,,,,,mg/L,0.00015,,,,
V100000209,,,,,,,,,mg/L,8.00E-05,,,,
V100000210,,,,,,,,,mg/L,0.00055,,,,
V100000211,,,,,,,,,mg/L,0.00015,,,,
V100000212,,,,,,,,,mg/L,0.00093,,,,
V100000213,,,,,,,,,mg/L,0.00081,,,,
V100000214,,,,,,,,,mg/L,0.00077,,,,
V100000215,,,,,,,,,mg/L,8.00E-05,,,,
V100000216,,,,,,,,,mg/L,0.00068,,,,
V100000217,,,,,,,,,mg/L,9.00E-05,,,,
V100000218,,,,,,,,,mg/L,0.00028,,,,
V100000219,,,,,,,,,mg/L,0.00046,,,,
V100000220,,,,,,,,,mg/L,0.00015,,,,
V100000221,,,,,,,,,mg/L,0.00058,,,,
V100000222,,,,,,,,,mg/L,0.00018,,,,
V100000223,,,,,,,,,mg/L,0.00031,,,,
V100000224,,,,,,,,,mg/L,6.00E-05,,,,
V100000225,,,,,,,,,mg/L,0.00037,,,,
V100000226,,,,,,,,,mg/L,0.00085,,,,
V100000227,,,,,,,,,mg/L,5.00E-05,,,,
V100000228,,,,,,,,,mg/L,5.00E-05,,,,
V100000229,,,,,,,,,mg/L,0.00024,,,,
V100000230,,,,,,,,,mg/L,0.00073,,,,
V100000231,,,,,,,,,mg/L,7.00E-05,,,,
V100000232,,,,,,,,,mg/L,2.00E-05,,,,
V100000233,,,,,,,,,mg/L,0.00037,,,,
V100000234,,,,,,,,,mg/L,0.00014,,,,
V100000235,,,,,,,,,mg/L,0.00084,,,,
V100000236,,,,,,,,,mg/L,2.00E-05,,,,
V100000237,,,,,,,,,mg/L,0.00071,,,,
V100000238,,,,,,,,,mg/L,0.00066,,,,
V100000239,,,,,,,,,mg/L,0.00086,,,,
V100000240,,,,,,,,,mg/L,6.00E-04,,,,
V100000241,,,,,,,,,mg/L,0.00048,,,,
V100000242,,,,,,,,,mg/L,3.00E-05,,,,
V100000243,,,,,,,,,mg/L,5.00E-05,,,,
V100000244,,,,,,,,,mg/L,4.00E-05,,,,
V100000245,,,,,,,,,mg/L,0.00023,,,,
V100000246,,,,,,,,,mg/L,1.00E-05,,,,
V100000247,,,,,,,,,mg/L,0.00018,,,,
V100000248,,,,,,,,,mg/L,0.00038,,,,
V100000249,,,,,,,,,mg/L,1.00E-05,,,,
V100000250,,,,,,,,,mg/L,0.00066,,,,
V100000251,,,,,,,,,mg/L,0.00062,,,,
V100000252,,,,,,,,,mg/L,9.00E-05,,,,
V100000253,,,,,,,,,mg/L,0.00049,,,,
V100000254,,,,,,,,,mg/L,0.00052,,,,
V100000255,,,,,,,,,mg/L,0.00061,,,,
V100000256,,,,,,,,,mg/L,7.00E-05,,,,
V100000257,,,,,,,,,mg/L,0.00078,,,,
V100000258,,,,,,,,,mg/L,0.00044,,,,
V100000259,,,,,,,,,mg/L,4.00E-05,,,,
V100000260,,,,,,,,,mg/L,3.00E-05,,,,
V100000261,,,,,,,,,mg/L,0.00024,,,,
V100000262,,,,,,,,,mg/L,6.00E-05,,,,
V100000263,,,,,,,,,mg/L,0.00022,,,,
V100000264,,,,,,,,,mg/L,1.00E-05,,,,
V100000265,,,,,,,,,mg/L,0.00069,,,,
V100000266,,,,,,,,,mg/L,0.00029,,,,
V100000267,,,,,,,,,mg/L,0.00072,,,,
V100000268,,,,,,,,,mg/L,0.00019,,,,
V100000269,,,,,,,,,mg/L,0.00074,,,,
V100000270,,,,,,,,,mg/L,0.00035,,,,
V100000271,,,,,,,,,mg/L,3.00E-05,,,,
V100000272,,,,,,,,,mg/L,0.00026,,,,
V100000273,,,,,,,,,mg/L,0.00043,,,,
V100000274,,,,,,,,,mg/L,2.00E-05,,,,
V100000275,,,,,,,,,mg/L,0.00026,,,,
V100000276,,,,,,,,,mg/L,0.00014,,,,
V100000277,,,,,,,,,mg/L,0.00077,,,,
V100000278,,,,,,,,,mg/L,0.00057,,,,
V100000279,,,,,,,,,mg/L,8.00E-04,,,,
V100000280,,,,,,,,,mg/L,2.00E-05,,,,
V100000281,,,,,,,,,mg/L,4.00E-05,,,,
V100000282,,,,,,,,,mg/L,0.00088,,,,
V100000283,,,,,,,,,mg/L,0.00069,,,,
V100000284,,,,,,,,,mg/L,0.00024,,,,
V100000285,,,,,,,,,mg/L,3.00E-04,,,,
V100000286,,,,,,,,,mg/L,0.00072,,,,
V100000287,,,,,,,,,mg/L,4.00E-04,,,,
V100000288,,,,,,,,,mg/L,0.00033,,,,
V100000289,,,,,,,,,mg/L,0.00022,,,,
V100000290,,,,,,,,,mg/L,0.00016,,,,
V100000291,,,,,,,,,mg/L,7.00E-05,,,,
V100000292,,,,,,,,,mg/L,0.00015,,,,
V100000293,,,,,,,,,mg/L,0.00062,,,,
V100000294,,,,,,,,,mg/L,4.00E-05,,,,
V100000295,,,,,,,,,mg/L,0.00014,,,,
V100000296,,,,,,,,,mg/L,0.00081,,,,
V100000297,,,,,,,,,mg/L,4.00E-05,,,,
V100000298,,,,,,,,,mg/L,0.00029,,,,
V100000299,,,,,,,,,mg/L,0.00024,,,,
V100000300,,,,,,,,,mg/L,0.00059,,,,
V100000301,,,,,,,,,mg/L,4.00E-04,,,,
V100000302,,,,,,,,,mg/L,3.00E-05,,,,
V100000303,,,,,,,,,mg/L,0.00025,,,,
V100000304,,,,,,,,,mg/L,0.00026,,,,
V100000305,,,,,,,,,mg/L,0.00018,,,,
V100000306,,,,,,,,,mg/L,7.00E-05,,,,
V100000307,,,,,,,,,mg/L,0.00017,,,,
V100000308,,,,,,,,,mg/L,0.00027,,,,
V100000309,,,,,,,,,mg/L,3.00E-05,,,,
V100000310,,,,,,,,,mg/L,3.00E-05,,,,
V100000311,,,,,,,,,mg/L,0.00021,,,,
V100000312,,,,,,,,,mg/L,0.00061,,,,
V100000313,,,,,,,,,mg/L,0.00076,,,,
V100000314,,,,,,,,,mg/L,0.00046,,,,
V100000315,,,,,,,,,mg/L,6.00E-04,,,,
V100000316,,,,,,,,,mg/L,0.00013,,,,
V100000317,,,,,,,,,mg/L,6.00E-04,,,,
V100000318,,,,,,,,,mg/L,0.00033,,,,
V100000319,,,,,,,,,mg/L,0.00015,,,,
V100000320,,,,,,,,,mg/L,0.00068,,,,
V100000321,,,,,,,,,mg/L,0.00036,,,,
V100000322,,,,,,,,,mg/L,0.00018,,,,
V100000323,,,,,,,,,mg/L,0.00086,,,,
V100000324,,,,,,,,,mg/L,5.00E-05,,,,
V100000325,,,,,,,,,mg/L,0.00013,,,,
V100000326,,,,,,,,,mg/L,0.00057,,,,
V100000327,,,,,,,,,mg/L,4.00E-04,,,,
V100000328,,,,,,,,,mg/L,1.00E-05,,,,
V100000329,,,,,,,,,mg/L,0.00021,,,,
V100000330,,,,,,,,,mg/L,0.00024,,,,
V100000331,,,,,,,,,mg/L,0.00044,,,,
V100000332,,,,,,,,,mg/L,0.00062,,,,
V100000333,,,,,,,,,mg/L,0.00011,,,,
V100000334,,,,,,,,,mg/L,0.00067,,,,
V100000335,,,,,,,,,mg/L,0.00075,,,,
V100000336,,,,,,,,,mg/L,0.00069,,,,
V100000337,,,,,,,,,mg/L,1.00E-05,,,,
V100000338,,,,,,,,,mg/L,0.00076,,,,
V100000339,,,,,,,,,mg/L,5.00E-05,,,,
V100000340,,,,,,,,,mg/L,0.00084,,,,
V100000341,,,,,,,,,mg/L,0.00067,,,,
V100000342,,,,,,,,,mg/L,3.00E-05,,,,
V100000343,,,,,,,,,mg/L,3.00E-04,,,,
V100000344,,,,,,,,,mg/L,0.00044,,,,
V100000345,,,,,,,,,mg/L,0.00065,,,,
V100000346,,,,,,,,,mg/L,9.00E-05,,,,
V100000347,,,,,,,,,mg/L,0.00053,,,,
V100000348,,,,,,,,,mg/L,8.00E-05,,,,
V100000349,,,,,,,,,mg/L,2.00E-05,,,,
V100000350,,,,,,,,,mg/L,6.00E-05,,,,
V100000351,,,,,,,,,mg/L,0.00029,,,,
V100000352,,,,,,,,,mg/L,0.00092,,,,
V100000353,,,,,,,,,mg/L,3.00E-05,,,,
V100000354,,,,,,,,,mg/L,0.00063,,,,
V100000355,,,,,,,,,mg/L,6.00E-05,,,,
V100000356,,,,,,,,,mg/L,8.00E-05,,,,
V100000357,,,,,,,,,mg/L,0.00053,,,,
V100000358,,,,,,,,,mg/L,9.00E-04,,,,
V100000359,,,,,,,,,mg/L,0.00061,,,,
V100000360,,,,,,,,,mg/L,0.00018,,,,
V100000361,,,,,,,,,mg/L,0.00049,,,,
V100000363,,,,,,,,,mg/L,6.00E-04,,,,
V100000364,,,,,,,,,mg/L,0.00025,,,,
V100000365,,,,,,,,,mg/L,0.00014,,,,
V100000366,,,,,,,,,mg/L,0.00078,,,,
V100000367,,,,,,,,,mg/L,0.00068,,,,
V100000368,,,,,,,,,mg/L,0.00015,,,,
V100000369,,,,,,,,,mg/L,0.00073,,,,
V100000370,,,,,,,,,mg/L,0.00012,,,,
V100000371,,,,,,,,,mg/L,0.00039,,,,
V100000372,,,,,,,,,mg/L,0.00069,,,,
V100000373,,,,,,,,,mg/L,0.00035,,,,
V100000374,,,,,,,,,mg/L,0.00079,,,,
V100000375,,,,,,,,,mg/L,0.00022,,,,
V100000376,,,,,,,,,mg/L,0.00072,,,,
V100000377,,,,,,,,,mg/L,1.00E-05,,,,
V100000378,,,,,,,,,mg/L,0.00024,,,,
V100000379,,,,,,,,,mg/L,2.00E-05,,,,
V100000380,,,,,,,,,mg/L,0.00023,,,,
V100000381,,,,,,,,,mg/L,0.00019,,,,
V100000382,,,,,,,,,mg/L,0.00072,,,,
V100000383,,,,,,,,,mg/L,0.00024,,,,
V100000384,,,,,,,,,mg/L,0.00052,,,,
V100000385,,,,,,,,,mg/L,0.00097,,,,
V100000386,,,,,,,,,mg/L,2.00E-05,,,,
V100000387,,,,,,,,,mg/L,1.00E-04,,,,
V100000388,,,,,,,,,mg/L,0.00093,,,,
V100000389,,,,,,,,,mg/L,0.00067,,,,
V100000390,,,,,,,,,mg/L,0.00077,,,,
V100000391,,,,,,,,,mg/L,0.00063,,,,
V100000392,,,,,,,,,mg/L,0.00022,,,,
V100000393,,,,,,,,,mg/L,0.00063,,,,
V100000394,,,,,,,,,mg/L,2.00E-05,,,,
V100000395,,,,,,,,,mg/L,0.00037,,,,
V100000396,,,,,,,,,mg/L,0.00013,,,,
V100000397,,,,,,,,,mg/L,0.00016,,,,
V100000398,,,,,,,,,mg/L,0.00083,,,,
V100000399,,,,,,,,,mg/L,0.00047,,,,
V100000400,,,,,,,,,mg/L,0.00068,,,,
V100000401,,,,,,,,,mg/L,0.00075,,,,
V100000402,,,,,,,,,mg/L,3.00E-04,,,,
V100000403,,,,,,,,,mg/L,0.00025,,,,
V100000404,,,,,,,,,mg/L,0.00093,,,,
V100000405,,,,,,,,,mg/L,0.00028,,,,
V100000406,,,,,,,,,mg/L,1.00E-05,,,,
V100000407,,,,,,,,,mg/L,0.00031,,,,
V100000408,,,,,,,,,mg/L,0.00044,,,,
V100000409,,,,,,,,,mg/L,0.00021,,,,
V100000410,,,,,,,,,mg/L,0.00025,,,,
V100000411,,,,,,,,,mg/L,1.00E-05,,,,
V100000412,,,,,,,,,mg/L,4.00E-05,,,,
V100000413,,,,,,,,,mg/L,0.00081,,,,
V100000414,,,,,,,,,mg/L,0.00022,,,,
V100000415,,,,,,,,,mg/L,0.00013,,,,
V100000416,,,,,,,,,mg/L,2.00E-05,,,,
V100000417,,,,,,,,,mg/L,8.00E-04,,,,
V100000418,,,,,,,,,mg/L,0.00064,,,,
V100000419,,,,,,,,,mg/L,0.00025,,,,
V100000420,,,,,,,,,mg/L,0.00081,,,,
V100000421,,,,,,,,,mg/L,0.00093,,,,
V100000422,,,,,,,,,mg/L,0.00023,,,,
V100000423,,,,,,,,,mg/L,0.00023,,,,
V100000424,,,,,,,,,mg/L,0.00058,,,,
V100000425,,,,,,,,,mg/L,0.00048,,,,
V100000426,,,,,,,,,mg/L,0.00093,,,,
V100000427,,,,,,,,,mg/L,0.00047,,,,
V100000428,,,,,,,,,mg/L,0.00087,,,,
V100000429,,,,,,,,,mg/L,0.00015,,,,
V100000431,,,,,,,,,mg/L,0.00019,,,,
V100000432,,,,,,,,,mg/L,0.00072,,,,
V100000433,,,,,,,,,mg/L,1.00E-04,,,,
V100000434,,,,,,,,,mg/L,0.00042,,,,
V100000435,,,,,,,,,mg/L,0.00085,,,,
V100000436,,,,,,,,,mg/L,0.00075,,,,
V100000437,,,,,,,,,mg/L,0.00058,,,,
V100000438,,,,,,,,,mg/L,0.00055,,,,
V100000439,,,,,,,,,mg/L,0.00056,,,,
V100000440,,,,,,,,,mg/L,3.00E-05,,,,
V100000441,,,,,,,,,mg/L,0.00064,,,,
V100000442,,,,,,,,,mg/L,0.00061,,,,
V100000443,,,,,,,,,mg/L,0.00013,,,,
V100000444,,,,,,,,,mg/L,0.00046,,,,
V100000445,,,,,,,,,mg/L,0.00086,,,,
V100000446,,,,,,,,,mg/L,0.00033,,,,
V100000447,,,,,,,,,mg/L,0.00057,,,,
V100000448,,,,,,,,,mg/L,4.00E-05,,,,
V100000449,,,,,,,,,mg/L,0.00021,,,,
V100000450,,,,,,,,,mg/L,0.00077,,,,
V100000451,,,,,,,,,mg/L,0.00056,,,,
V100000452,,,,,,,,,mg/L,0.00056,,,,
V100000453,,,,,,,,,mg/L,0.00024,,,,
V100000454,,,,,,,,,mg/L,3.00E-05,,,,
V100000455,,,,,,,,,mg/L,0.00015,,,,
V100000456,,,,,,,,,mg/L,0.00067,,,,
V100000457,,,,,,,,,mg/L,0.00021,,,,
V100000458,,,,,,,,,mg/L,0.00014,,,,
V100000459,,,,,,,,,mg/L,0.00051,,,,
V100000460,,,,,,,,,mg/L,0.00015,,,,
V100000461,,,,,,,,,mg/L,0.00025,,,,
V100000462,,,,,,,,,mg/L,0.00036,,,,
V100000463,,,,,,,,,mg/L,4.00E-05,,,,
V100000464,,,,,,,,,mg/L,5.00E-05,,,,
V100000465,,,,,,,,,mg/L,0.00088,,,,
V100000466,,,,,,,,,mg/L,4.00E-05,,,,
V100000467,,,,,,,,,mg/L,0.00023,,,,
V100000468,,,,,,,,,mg/L,4.00E-05,,,,
V100000469,,,,,,,,,mg/L,6.00E-05,,,,
V100000470,,,,,,,,,mg/L,1.00E-05,,,,
V100000471,,,,,,,,,mg/L,0.00079,,,,
V100000472,,,,,,,,,mg/L,5.00E-04,,,,
V100000473,,,,,,,,,mg/L,7.00E-04,,,,
V100000474,,,,,,,,,mg/L,8.00E-05,,,,
V100000475,,,,,,,,,mg/L,0.00034,,,,
V100000476,,,,,,,,,mg/L,0.00025,,,,
V100000477,,,,,,,,,mg/L,0.00043,,,,
V100000478,,,,,,,,,mg/L,0.00022,,,,
V100000479,,,,,,,,,mg/L,0.00071,,,,
V100000480,,,,,,,,,mg/L,0.00019,,,,
V100000481,,,,,,,,,mg/L,0.00079,,,,
V100000482,,,,,,,,,mg/L,0.00031,,,,
V100000483,,,,,,,,,mg/L,0.00018,,,,
V100000484,,,,,,,,,mg/L,7.00E-05,,,,
V100000485,,,,,,,,,mg/L,0.00054,,,,
V100000486,,,,,,,,,mg/L,0.00019,,,,
V100000487,,,,,,,,,mg/L,8.00E-04,,,,
V100000488,,,,,,,,,mg/L,0.00049,,,,
V100000489,,,,,,,,,mg/L,0.00082,,,,
V100000490,,,,,,,,,mg/L,8.00E-05,,,,
V100000491,,,,,,,,,mg/L,0.00073,,,,
V100000492,,,,,,,,,mg/L,0.00011,,,,
V100000493,,,,,,,,,mg/L,0.00032,,,,
V100000494,,,,,,,,,mg/L,0.00045,,,,
V100000495,,,,,,,,,mg/L,0.00023,,,,
V100000496,,,,,,,,,mg/L,0.00056,,,,
V100000497,,,,,,,,,mg/L,0.00021,,,,
V100000498,,,,,,,,,mg/L,0.00028,,,,
V100000499,,,,,,,,,mg/L,5.00E-05,,,,
V100000500,,,,,,,,,mg/L,0.00033,,,,
V100000501,,,,,,,,,mg/L,0.00089,,,,
V100000502,,,,,,,,,mg/L,4.00E-05,,,,
V100000503,,,,,,,,,mg/L,4.00E-05,,,,
V100000504,,,,,,,,,mg/L,0.00022,,,,
V100000505,,,,,,,,,mg/L,0.00068,,,,
