uniqueID,UniqueLakeName,StudyID,Year,Month,Lat,Lon,LakeName,ChlValues,TP,TN,DOC,DO,LakeVolume,SurfaceArea,Depth.mean,Depth.max,Secchi,pH
newid002726,L0036,13,2005,1,-36.8,-57.78333333,Kakel Huincul,0.0381,0.0221,,,,,20,,1.5,,
newid002727,L0036,13,2006,9,-36.8,-57.78333333,Kakel Huincul,8.00E-04,0.0361,,,,,20,,1.5,,
newid002728,L0037,13,2005,1,-35.85,-57.86666667,Triunfo,0.0162,0.157,,,,,1.5,,1.2,,
newid002729,L0037,13,2006,6,-35.85,-57.86666667,Triunfo,0.011,0.0622,,,,,1.5,,1.2,,
newid002730,L0037,13,2006,7,-35.85,-57.86666667,Triunfo,0.0019,0.126,,,,,1.5,,1.2,,
newid002731,L0037,13,2006,9,-35.85,-57.86666667,Triunfo,0.0025,0.1943,,,,,1.5,,1.2,,
newid002738,L0038,13,2005,1,-35.8166667,-57.81666667,Lacombe,0.2351,0.1269,,,,,1.3,,1.5,,
newid002739,L0038,13,2006,9,-35.8166667,-57.81666667,Lacombe,0.043,0.0722,,,,,1.3,,1.5,,
newid002740,L0039,13,2005,1,-35.7833333,-57.86666667,Salada ,0.0644,0.0622,,,,,4.5,,2,,
newid002743,L0041,13,2005,1,-35.66831093,-57.80594886,San Jorge ,0.1732,0.099,,,,,3,,1.7,,
newid002744,L0041,13,2006,6,-35.66831093,-57.80594886,San Jorge ,0.3477,0.0742,,,,,3,,1.7,,
newid002745,L0041,13,2006,9,-35.66831093,-57.80594886,San Jorge ,0.359,0.1182,,,,,3,,1.7,,
newid002746,L0042,13,2005,1,-35.6166667,-57.8,"Limpia


",0.1315,0.6467,,,,,5.6,,1.9,,
newid002747,L0042,13,2006,6,-35.6166667,-57.8,"Limpia


",0.0253,0.5466,,,,,5.6,,1.9,,
newid002748,L0042,13,2006,9,-35.6166667,-57.8,"Limpia


",0.0582,0.6887,,,,,5.6,,1.9,,
newid002749,L0043,13,2005,11,-35.6,-58.03333333,Chascom?ù®s,0.2448,0.1602,,,,,30.1,,1.9,,
newid002750,L0043,13,2006,6,-35.6,-58.03333333,Chascom?ù®s,0.2908,0.1376,,,,,30.1,,1.9,,
newid002751,L0043,13,2006,9,-35.6,-58.03333333,Chascom?ù®s,0.3236,0.0575,,,,,30.1,,1.9,,
newid002756,L0046,13,2005,11,-35.5833333,-57.9,Yalka ,0.0885,0.126,,,,,10.6,,1.4,,
newid002757,L0047,13,2005,11,-35.5333333,-58.11666667,Vitel ,0.2289,0.0802,,,,,14.6,,1.6,,
newid002760,L0049,13,2005,11,-35.42,-57.55,Burro,0.0632,0.0468,,,,,10.2,,2.2,,
newid003304,L0402,14,2014,,30.933,119.9,Lake Taihu,0.0371,0.149,2.79,4.47,8.67,,,,,,8.27
newid007931,L3285,19,2015,6,43.2324,-86.2945,Muskegon Lake,0.006,,,,,,,,,,
newid007932,L3285,19,2015,7,43.2324,-86.2945,Muskegon Lake,0.0072,,,,,,,,,,
newid007933,L3285,19,2015,8,43.2324,-86.2945,Muskegon Lake,0.0086,,,,,,,,,,
newid007934,L3285,19,2015,9,43.2324,-86.2945,Muskegon Lake,0.0064,,,,,,,,,,
newid003158,L0370,20,2016,,30.223,114.197,Lake Luhu,0.0888,0.0803,1.28,,10.1,,,,,,8.24
newid002768,L0053,22,2007,,-33.523,-53.13,lake Mangueira,0.0014,0.015,0.14,9.817,,,,,,,7.252
newid014290,L8063,26,2016,,54.9621,9.285309,Uge 3,0.0094,0.047,0.07,,,,0.046,,13.9,1.6,8.7
newid014291,L8064,26,2016,,54.97333,9.283842,Uge 41,0.0031,0.011,0.26,,,,0.04,,16.3,5.7,8.6
newid014292,L8065,26,2016,,54.97372,9.279877,Uge 1,0.0026,0.008,0.85,,,,0.033,,9.3,4.9,8.5
newid014293,L8066,26,2016,,54.97387,9.313482,Uge 40,0.0047,0.012,0.05,,,,0.037,,15.1,5.5,8.5
newid014295,L8068,26,2016,,55.05505,9.305679,R?ù®dekro 19,0.0052,0.031,0.1,,,,0.048,,11.2,5,8.3
newid014296,L8069,26,2016,,55.05876,9.309871,R?ù®dekro 14,0.0037,0.023,0.12,,,,0.115,,11.2,6.8,8.4
newid014297,L8070,26,2016,,55.06108,9.305959,R?ù®dekro 20,0.0084,0.018,0.18,,,,0.129,,15.9,3.6,8.6
newid014298,L8071,26,2016,,55.07129,9.28618,R?ù®dekro 23,0.0034,0.024,0.34,,,,0.052,,7.1,2.8,8.1
newid014299,L8072,26,2016,,55.07265,9.290935,R?ù®dekro 22,0.0031,0.012,0.3,,,,0.044,,11.4,2.6,8.5
newid014300,L8073,26,2016,,55.07277,9.283951,R?ù®dekro 24,0.0043,0.026,0.07,,,,0.035,,8,3.3,8.2
newid014301,L8074,26,2016,,55.08991,9.299364,R?ù®dekro 36,0.0024,0.011,0.18,,,,0.015,,10,3.1,8.4
newid014302,L8075,26,2016,,55.09148,9.315107,R?ù®dekro 34,0.0048,0.012,1.72,,,,0.042,,9.7,3.2,8.4
newid014303,L8076,26,2016,,55.09625,9.300461,R?ù®dekro 28,0.0045,0.015,0.32,,,,0.021,,8.4,3.4,8.2
newid014308,L8083,26,2016,,55.62438,12.17702,Flinte lake south,0.0053,0.022,0.47,,,,0.045,,1.2,0.89,8.4
newid014309,L8084,26,2016,,55.62839,12.17757,Flinte lake north,0.0066,0.024,0.41,,,,0.07,,1.8,1,8.4
newid014310,L8085,26,2016,,55.63362,12.18892,Hedesletten,0.0017,0.029,0.57,,,,0.03,,1,0.96,9.9
newid014311,L8086,26,2016,,55.63444,12.1864,Vinkel lake,0.0092,0.019,0.31,,,,0.035,,3.4,2.5,8.3
newid014312,L8087,26,2016,,55.63731,12.18318,Flade lake,0.0021,0.013,0.11,,,,0.02,,1.6,1.6,7.8
newid014324,L8099,26,2016,,55.83879,12.23935,St. Rosenbusk lake 3,0.0482,0.082,0.83,,,,0.002,,1.5,0.96,8.1
newid014327,L8102,26,2016,,55.90215,9.695661,Nim 10,0.0082,0.066,2.89,,,,0.025,,8.2,2.5,7.9
newid014328,L8103,26,2016,,55.90425,9.687029,Nim 9,0.0395,0.117,2.47,,,,0.039,,4.5,0.74,8.5
newid014329,L8104,26,2016,,55.91212,12.06082,?ù®lsted grusgrav,0.0023,0.014,0.21,,,,0.005,,5.1,4.4,8.2
newid014334,L8108,26,2016,,55.98195,9.715459,Vestbirk 12,0.0059,0.026,0.13,,,,0.046,,10,1.9,8.4
newid014335,L8109,26,2016,,55.98378,9.70328,Vestbirk 14,0.0128,0.047,0.53,,,,0.016,,4.4,1.2,8.8
newid014336,L8110,26,2016,,55.98488,9.713606,Vestbirk 13,0.0033,0.019,0.05,,,,0.041,,15.5,2.4,8.4
newid014338,L8113,26,2016,,56.04312,12.41663,"Plejelt, little lake",0.0058,0.044,0.17,,,,0.005,,4,0.61,8.6
newid014339,L8114,26,2016,,56.04377,12.4177,"Plejelt, big lake",0.0024,0.024,0.05,,,,0.015,,6.3,0.83,8.5
newid014340,L8115,26,2016,,56.0462,12.42571,Dager?ù®d lake,0.0071,0.038,0.43,,,,0.028,,5.8,1.7,9.3
newid014342,L8117,26,2016,,56.14801,9.189331,Tulstrup 6,0.0045,0.021,0.15,,,,0.029,,10.1,1.7,7.6
newid014343,L8118,26,2016,,56.14929,9.181225,Tulstrup 5,0.0022,0.017,0.24,,,,0.035,,15,3.95,8.5
newid014344,L8119,26,2016,,56.15103,9.181378,Tulstrup 4,0.0052,0.024,0.55,,,,0.014,,11.9,2.17,7.7
newid014345,L8120,26,2016,,56.15323,9.184061,Tulstrup 3,0.0035,0.02,0.3,,,,0.029,,10.1,1.09,6.8
newid014346,L8121,26,2016,,56.15551,9.187565,Tulstrup 2,0.001,0.012,0.21,,,,0.012,,9.5,3.94,7.7
newid014347,L8122,26,2016,,56.15613,9.199352,Tulstrup 1,0.004,0.033,0.32,,,,0.031,,15,1.48,7.7
newid014350,L8125,26,2016,,56.30484,9.651421,Kongensbro ,0.0051,0.038,0.6,,,,0.01,,2.8,2.8,7.5
newid005976,L2052,29,,,42.067,-81.34,Erie,0.0058,0.0136,,,,,,,,,8.28
newid006746,L2711,29,,,43.45,-87.222,Michigan,9.00E-04,0.0026,,,,,,,,,8.14
newid007412,L3185,29,,,45.052,-82.485,Huron,6.00E-04,0.0021,,,,,,,,,8.11
newid007917,L3277,29,,,43.633,-77.827,Ontario,0.0021,0.0051,,,,,,,,,8.16
newid012847,L6915,29,,,47.723,-86.941,Superior,9.00E-04,0.0023,,,,,,,,,8
newid002903,L0173,33,2015,9,5.545,-72.928,Lago de Tota,0.0064,0.06,1.5,,,,,,,,
newid002758,L0048,42,2009,,-35.445,139.082,Lakes Alexandria and Albert,0.0785,,,,,,,,,,8.54
newid002759,L0048,42,2011,,-35.445,139.082,Lakes Alexandria and Albert,0.054,,,,,,,,,,8.3
newid003045,L0296,53,2015,10,26.6319444,106.4991667,Baihua Lake Reservoir,0.0115,0.045,1.86,,7.6,,,,,,7.9
newid003046,L0296,53,2015,11,26.6319444,106.4991667,Baihua Lake Reservoir,0.0125,0.03,1.94,,6.6,,,,,,7.9
newid003047,L0296,53,2015,12,26.6319444,106.4991667,Baihua Lake Reservoir,0.0128,0.046,2.29,,7.1,,,,,,7.9
newid003049,L0296,53,2016,1,26.6319444,106.4991667,Baihua Lake Reservoir,0.0063,0.031,1.09,,9.1,,,,,,7.5
newid003050,L0296,53,2016,2,26.6319444,106.4991667,Baihua Lake Reservoir,0.0099,0.031,2.13,,8.9,,,,,,8.2
newid003051,L0296,53,2016,3,26.6319444,106.4991667,Baihua Lake Reservoir,0.0126,0.04,1.86,,10.1,,,,,,8.3
newid003052,L0296,53,2016,4,26.6319444,106.4991667,Baihua Lake Reservoir,0.0114,0.023,2.39,,9.4,,,,,,8.7
newid003053,L0296,53,2016,5,26.6319444,106.4991667,Baihua Lake Reservoir,0.0068,0.028,1.7,,7.6,,,,,,8.5
newid003054,L0296,53,2016,6,26.6319444,106.4991667,Baihua Lake Reservoir,0.0113,0.029,2.25,,9.2,,,,,,8.3
newid003055,L0296,53,2016,7,26.6319444,106.4991667,Baihua Lake Reservoir,0.0051,0.03,1.75,,8.8,,,,,,8.3
newid003056,L0296,53,2016,8,26.6319444,106.4991667,Baihua Lake Reservoir,0.0072,0.032,1.78,,6.5,,,,,,8
newid003057,L0296,53,2016,9,26.6319444,106.4991667,Baihua Lake Reservoir,0.0107,0.023,1.13,,8.2,,,,,,8.4
newid006460,L2487,54,2013,1,41.81348,26.92506,S?ù®lo?lu Reservoir,0.0036,,,,10.55,,,,,,8.05
newid006461,L2487,54,2013,2,41.81348,26.92506,S?ù®lo?lu Reservoir,0.0036,,,,11.35,,,,,,7.75
newid006462,L2487,54,2013,3,41.81348,26.92506,S?ù®lo?lu Reservoir,0.0036,,,,9.25,,,,,,7.35
newid006463,L2487,54,2013,4,41.81348,26.92506,S?ù®lo?lu Reservoir,0.0044,,,,10.75,,,,,,8.38
newid006464,L2487,54,2013,5,41.81348,26.92506,S?ù®lo?lu Reservoir,0.0178,,,,8.75,,,,,,8.52
newid006465,L2487,54,2013,6,41.81348,26.92506,S?ù®lo?lu Reservoir,0.032,,,,7.85,,,,,,8.48
newid006466,L2487,54,2013,7,41.81348,26.92506,S?ù®lo?lu Reservoir,0.0213,,,,8.95,,,,,,8.95
newid006467,L2487,54,2013,8,41.81348,26.92506,S?ù®lo?lu Reservoir,0.0213,,,,8.15,,,,,,8.81
newid006468,L2487,54,2013,9,41.81348,26.92506,S?ù®lo?lu Reservoir,0.0266,,,,7.75,,,,,,8.78
newid006469,L2487,54,2013,10,41.81348,26.92506,S?ù®lo?lu Reservoir,0.0142,,,,7.25,,,,,,8.12
newid006470,L2487,54,2013,11,41.81348,26.92506,S?ù®lo?lu Reservoir,0.0053,,,,9.85,,,,,,7.65
newid004753,L1164,55,2016,,38.89278,116.0181,Baiyangdian Lake,0.0286,0.4,2.25,,4.65,,,2.35,,,9.27
newid002801,L0073,56,2011,5,-23.7692778,-46.53330556,Billings Reservoir,0.0286,0.016,,,,,,,,,
newid002802,L0073,56,2012,1,-23.7692778,-46.53330556,Billings Reservoir,0.0505,0.045,,,,,,,,,
newid002803,L0074,56,2011,5,-23.6786111,-46.71980556,Guarapiranga Reservoir,0.0286,0.041,,,,,,,,,
newid002804,L0074,56,2012,1,-23.6786111,-46.71980556,Guarapiranga Reservoir,0.0532,0.061,,,,,,,,,
newid002819,L0077,56,2011,5,-23.3660833,-46.66866667,Paiva Castro Reservoir,0.008,0.021,,,,,,,,,
newid002820,L0077,56,2012,1,-23.3660833,-46.66866667,Paiva Castro Reservoir,0.0053,0.019,,,,,,,,,
newid003385,L0469,59,2014,,32.1911926,35.8191331,King Talal Reservoir Dam,0.012,,,,,,,,,,
newid004754,L1164,65,,,38.86779,116.0473,Baiyangdian Lake,0.017,0.21,4.36,,8.57,,,,,,8.12
newid014843,L8226,70,,3,61.16667,24.25,Lake Vajanselk_,0.0011,,,10.65,,,,,,,7.32
newid014844,L8226,70,,5,61.16667,24.25,Lake Vajanselk_,0.0112,,,9.4,,,,,,,7.79
newid014845,L8226,70,,8,61.16667,24.25,Lake Vajanselk_,0.0133,,,9.1,,,,,,,6.93
newid014846,L8226,70,,10,61.16667,24.25,Lake Vajanselk_,0.006,,,8.45,,,,,,,7.59
newid002693,L0035,72,2000,4,-37.83337186,-71.09999232,Lake Caviahue,2.00E-04,,,,,,,,,,
newid002694,L0035,72,2000,5,-37.83337186,-71.09999232,Lake Caviahue,1.00E-04,,,,,,,,,,
newid002695,L0035,72,2003,3,-37.83337186,-71.09999232,Lake Caviahue,2.00E-04,,,,,,,,,,
newid002696,L0035,72,2003,7,-37.83337186,-71.09999232,Lake Caviahue,4.00E-04,,,,,,,,,,
newid002697,L0035,72,2004,3,-37.83337186,-71.09999232,Lake Caviahue,1.00E-04,,,,,,,,,,
newid002698,L0035,72,2004,5,-37.83337186,-71.09999232,Lake Caviahue,8.00E-04,,,,,,,,,,
newid002699,L0035,72,2004,11,-37.83337186,-71.09999232,Lake Caviahue,4.00E-04,,,,,,,,,,
newid002700,L0035,72,2005,1,-37.83337186,-71.09999232,Lake Caviahue,3.00E-04,,,,,,,,,,
newid002701,L0035,72,2005,2,-37.83337186,-71.09999232,Lake Caviahue,4.00E-04,,,,,,,,,,
newid002702,L0035,72,2005,3,-37.83337186,-71.09999232,Lake Caviahue,3.00E-04,,,,,,,,,,
newid002703,L0035,72,2005,9,-37.83337186,-71.09999232,Lake Caviahue,8.00E-04,,,,,,,,,,
newid002704,L0035,72,2005,12,-37.83337186,-71.09999232,Lake Caviahue,6.00E-04,,,,,,,,,,
newid002705,L0035,72,2006,4,-37.83337186,-71.09999232,Lake Caviahue,2.00E-04,,,,,,,,,,
newid002706,L0035,72,2007,2,-37.83337186,-71.09999232,Lake Caviahue,6.00E-04,,,,,,,,,,
newid002707,L0035,72,2008,2,-37.83337186,-71.09999232,Lake Caviahue,4.00E-04,,,,,,,,,,
newid002708,L0035,72,2008,4,-37.83337186,-71.09999232,Lake Caviahue,3.00E-04,,,,,,,,,,
newid002709,L0035,72,2008,10,-37.83337186,-71.09999232,Lake Caviahue,9.00E-04,,,,,,,,,,
newid002710,L0035,72,2009,1,-37.83337186,-71.09999232,Lake Caviahue,0.001,,,,,,,,,,
newid002711,L0035,72,2010,2,-37.83337186,-71.09999232,Lake Caviahue,4.00E-04,,,,,,,,,,
newid002712,L0035,72,2010,9,-37.83337186,-71.09999232,Lake Caviahue,0.001,,,,,,,,,,
newid002713,L0035,72,2010,12,-37.83337186,-71.09999232,Lake Caviahue,4.00E-04,,,,,,,,,,
newid002714,L0035,72,2011,4,-37.83337186,-71.09999232,Lake Caviahue,1.00E-04,,,,,,,,,,
newid002715,L0035,72,2011,8,-37.83337186,-71.09999232,Lake Caviahue,0.0014,,,,,,,,,,
newid002716,L0035,72,2011,12,-37.83337186,-71.09999232,Lake Caviahue,4.00E-04,,,,,,,,,,
newid002717,L0035,72,2012,3,-37.83337186,-71.09999232,Lake Caviahue,2.00E-04,,,,,,,,,,
newid002718,L0035,72,2012,7,-37.83337186,-71.09999232,Lake Caviahue,0.0021,,,,,,,,,,
newid002719,L0035,72,2012,12,-37.83337186,-71.09999232,Lake Caviahue,4.00E-04,,,,,,,,,,
newid002720,L0035,72,2013,9,-37.83337186,-71.09999232,Lake Caviahue,0.0018,,,,,,,,,,
newid002721,L0035,72,2014,5,-37.83337186,-71.09999232,Lake Caviahue,2.00E-04,,,,,,,,,,
newid002722,L0035,72,2014,8,-37.83337186,-71.09999232,Lake Caviahue,0.0016,,,,,,,,,,
newid002723,L0035,72,2015,2,-37.83337186,-71.09999232,Lake Caviahue,4.00E-04,,,,,,,,,,
newid002724,L0035,72,2015,3,-37.83337186,-71.09999232,Lake Caviahue,0.0011,,,,,,,,,,
newid002725,L0035,72,2015,10,-37.83337186,-71.09999232,Lake Caviahue,0,,,,,,,,,,
newid014010,L7888,74,2015,11,51.3803,23.05012,Lake Bikcze,0.0039,,,,,,,,,,8.17
newid014011,L7888,74,2015,12,51.3803,23.05012,Lake Bikcze,0.0057,,,,,,,,,,7.86
newid014012,L7888,74,2016,2,51.3803,23.05012,Lake Bikcze,0.0102,,,,,,,,,,8.14
newid014013,L7888,74,2016,3,51.3803,23.05012,Lake Bikcze,0.0102,,,,,,,,,,7.47
newid014014,L7888,74,2016,4,51.3803,23.05012,Lake Bikcze,0.0082,,,,,,,,,,6.52
newid014015,L7888,74,2016,5,51.3803,23.05012,Lake Bikcze,0.0089,,,,,,,,,,8.41
newid014016,L7888,74,2016,6,51.3803,23.05012,Lake Bikcze,0.0094,,,,,,,,,,8.1
newid014017,L7888,74,2016,7,51.3803,23.05012,Lake Bikcze,0.0115,,,,,,,,,,6.82
newid014018,L7888,74,2016,8,51.3803,23.05012,Lake Bikcze,0.0181,,,,,,,,,,6.16
newid014019,L7888,74,2016,9,51.3803,23.05012,Lake Bikcze,0.0213,,,,,,,,,,7.18
newid014020,L7888,74,2016,10,51.3803,23.05012,Lake Bikcze,0.0061,,,,,,,,,,6.73
newid014021,L7888,74,2016,11,51.3803,23.05012,Lake Bikcze,0.0165,,,,,,,,,,7.48
newid014022,L7888,74,2017,2,51.3803,23.05012,Lake Bikcze,0.0085,,,,,,,,,,7.44
newid014023,L7888,74,2017,3,51.3803,23.05012,Lake Bikcze,0.0117,,,,,,,,,,7.89
newid014024,L7888,74,2017,4,51.3803,23.05012,Lake Bikcze,0.0079,,,,,,,,,,8.12
newid014025,L7888,74,2017,5,51.3803,23.05012,Lake Bikcze,0.0088,,,,,,,,,,8.48
newid014026,L7888,74,2017,6,51.3803,23.05012,Lake Bikcze,0.0126,,,,,,,,,,9.63
newid014027,L7888,74,2017,7,51.3803,23.05012,Lake Bikcze,0.0092,,,,,,,,,,9.69
newid014028,L7888,74,2017,9,51.3803,23.05012,Lake Bikcze,0.0108,,,,,,,,,,9.24
newid014029,L7888,74,2017,10,51.3803,23.05012,Lake Bikcze,0.0037,,,,,,,,,,8.09
newid014030,L7888,74,2017,12,51.3803,23.05012,Lake Bikcze,0.0144,,,,,,,,,,7.83
newid014197,L7981,78,2002,,53.29767,-97.96678,Lake Winnipeg,0.0081,,,,,,,,,,
newid014198,L7981,78,2004,,53.29767,-97.96678,Lake Winnipeg,0.0079,,,,,,,,,,
newid014199,L7981,78,2005,,53.29767,-97.96678,Lake Winnipeg,0.02,,,,,,,,,,
newid014200,L7981,78,2011,,53.29767,-97.96678,Lake Winnipeg,0.0169,,,,,,,,,,
newid007400,L3185,79,2010,5,44.28685,-81.59334,Lake Huron,5.00E-04,0.0031,0.6247,1.7,,,,,,,8.3
newid007401,L3185,79,2010,5,44.07508,-81.75865,Lake Huron,0.0023,0.0168,0.7537,2.2,,,,,,,8.3
newid007402,L3185,79,2010,8,44.28685,-81.59334,Lake Huron,0.0014,0.006,0.5444,1.8,,,,,,,8.5
newid007403,L3185,79,2010,8,44.07508,-81.75865,Lake Huron,0.007,0.0369,0.9542,2.3,,,,,,,8.4
newid007404,L3185,79,2010,9,44.28685,-81.59334,Lake Huron,0.001,0.0116,0.571,1.8,,,,,,,8.3
newid007405,L3185,79,2010,9,44.07508,-81.75865,Lake Huron,0.0062,0.0342,1.671,2.2,,,,,,,8.3
newid004567,L0997,82,2014,6,37.99454,-85.23846,Taylorsville Lake,0.0368,,,,,,,,,,
newid004808,L1213,82,2014,6,39.02516,-84.13032,Harsha Lake,0.051,,,,,,,,,,
newid003188,L0378,89,2010,,31.5484679,117.5730639,Lake Chaohu,0.0235,,,,,,,,,,
newid003191,L0378,89,2011,,31.5484679,117.5730639,Lake Chaohu,0.0186,,,,,,,,,,
newid003192,L0378,89,2012,,31.5484679,117.5730639,Lake Chaohu,0.0206,,,,,,,,,,
newid003193,L0378,89,2013,,31.5484679,117.5730639,Lake Chaohu,0.0126,,,,,,,,,,
newid003194,L0378,89,2014,,31.5484679,117.5730639,Lake Chaohu,0.0218,,,,,,,,,,
newid002792,L0064,93,2016,10,-26.89472,28.14555,Vaal Damn Reservoir,0.006,,,,,2.54E+09,321,22.5,,,
newid002793,L0064,93,2017,3,-26.89472,28.14555,Vaal Damn Reservoir,0.0037,,,,,2.54E+09,321,22.5,,,
newid002781,L0061,104,2016,,-28.1539822,153.2824011,Little Nerang Dam Reservoir,0.0111,0.027,0.36,3.15,,,,,,1.36,7.68
newid003469,L0536,108,2013,8,33.2914101,118.7198004,Hongze Lake,0.0362,0.24,1.67,,7.39,,,,,0.1,9.05
newid003470,L0536,108,2013,9,33.2914101,118.7198004,Hongze Lake,0.0109,0.13,1.75,,8.81,,,,,0.15,9.21
newid003471,L0536,108,2013,10,33.2914101,118.7198004,Hongze Lake,0.0064,0.11,1.49,,9.83,,,,,0.17,8.96
newid003000,L0261,116,2011,,21.49078054,-158.0421361,Wahiawa Reservoir,0.0239,0.0583,0.35,,,,,,,,
newid003001,L0261,116,2011,,21.49102413,-158.0259553,Wahiawa Reservoir,0.0174,0.0321,0.24,,,,,,,,
newid014033,L7889,118,,,51.4532,19.95699,Sulejow Reservoir,0.0034,,,,15.345,,,1.5,,,9.327931
newid003588,L0625,119,2015,10,34.5792366,117.2440957,Weishan Lake,0.0074,,,,,,,,,,
newid004455,L0908,120,2015,,37.42361,46.85681,Sahand Reservoir,0.0026,0.12,1,,6.2,,,,,1.25,
newid004907,L1294,122,,2,39.2573,28.22476,?ù®ayg?ù®ren Reservoir,0.0015,,,,,,,,,,
newid005009,L1367,122,,2,39.49117,27.94015,Ikizcetepeler Reservoir,0.0011,,,,,,,,,,
newid003627,L0660,127,2015,8,35.001,127.587,BU,0.0054,0.022,,1.6,,,0.81,,8.4,2,6.6
newid003678,L0704,127,2014,7,35.471,129.271,HY,0.074,0.049,,4.3,,,2.4,,9.2,0.85,9.2
newid003686,L0710,127,2015,9,35.517,129.33,SA,0.012,0.043,,3,,,0.3,,12,0.8,7.9
newid003735,L0719,127,2013,10,35.587,127.111,OJ,0.0041,0.014,,2.8,,,27,,34,1.2,8.1
newid003736,L0719,127,2014,2,35.587,127.111,OJ,4.00E-04,0.007,,2,,,27,,34,2.3,7.7
newid003741,L0723,127,2014,7,35.666,126.568,BA,3.00E-04,0.014,,2.1,,,3,,30,2.3,6.8
newid003774,L0750,127,2015,9,36.011,129.264,AG,0.0021,0.019,,3,,,1.4,,17,1.4,8.2
newid004285,L0771,127,2014,7,36.24,126.66,BR,0.001,0.011,,1.7,,,6,,42,2.1,7.8
newid004298,L0781,127,2014,10,36.408,127.51,DC,0.0058,0.026,,2.3,,,73,,40,3,7.8
newid004299,L0781,127,2015,3,36.408,127.51,DC,0.0025,0.0074,,1.6,,,73,,40,3.8,7.4
newid004300,L0781,127,2015,9,36.408,127.51,DC,0.0055,0.022,,2.2,,,73,,40,2.1,8.2
newid004383,L0847,127,2015,9,36.953,128.046,CJ,0.0087,0.019,,1.9,,,67,,57,1.9,7.7
newid004435,L0891,127,2015,7,37.321,126.889,BW,0.019,0.038,,4.2,,,0.37,,3.7,1.3,7.8
newid004465,L0918,127,2015,9,37.509,127.298,PD,0.0084,0.024,,2.6,,,36,,18,1.7,8.2
newid004471,L0923,127,2015,9,37.556,128.058,HS,0.0024,0.015,,1.8,,,5.8,,20,2.1,8.2
newid004543,L0986,127,2014,10,37.943,127.893,SY,0.0057,0.016,,1.7,,,70,,79,3.1,7.6
newid004590,L1017,127,2013,10,38.103,127.794,PR,0.0014,0.012,,2,,,39,,60,2.5,7.5
newid004591,L1017,127,2014,3,38.103,127.794,PR,1.00E-04,0.015,,1.1,,,39,,60,3.5,7.9
newid003222,L0398,133,2014,,31.032433,109.597478,Three Gorges Reservoir,0.001,,,,9.11,,,,,,
